community_id,size,community_out_degree,community_in_degree,internal_edges,reciprocal_internal_edges,typed_internal_edges,superficial_internal_edges,mean_internal_semantic_weight,mean_internal_label_confidence,degree_assortativity,mean_pagerank_drop,mean_rank_drop,mean_weighted_pagerank,mean_unweighted_pagerank,possible_directed_edges,density,reciprocity,expected_internal_edges,inflation,log_inflation,semantic_coverage,semantic_superficiality,density_z,log_inflation_z,reciprocity_z,semantic_superficiality_z,degree_assortativity_z,mean_pagerank_drop_z,cci_score,structural_cci_score,rank_cci
3,6269,109454.0,93932.0,63903,128,26804,16706,0.7819867611849209,0.3523294689095551,0.03799234868868243,2.2344353044919405e-07,1404.5174669006221,1.264220439951118e-06,1.4876639704003121e-06,39294092,0.0016262750135567453,0.002003035851211993,2110.4670568509696,30.279079596413954,3.4429494905771234,0.41944822621786143,0.6232651843008506,3.4532384432074905,0.46990630641911246,-0.7128296220093772,0.07974989345819473,3.1257982793686714,2.651845874938928,1.5112848625638369,1.7975918563849653,1
11,7284,39886.0,40527.0,36421,352,15692,13385,0.7033167677987974,0.3989426596280702,-0.25482287794570485,-1.3580445531329923e-09,-982.3219384953322,2.2667763189697933e-06,2.2654182744166605e-06,53049372,0.0006865491263496955,0.009664753850800362,331.81675501647936,109.76238978104402,4.707387274280219,0.43085033359874797,0.8529824114198318,0.7857936615111741,2.008819566507117,2.7925893764226557,1.6057080633941252,-1.2918950517067085,-0.2403388284303042,0.9434461312830099,0.8109937448607868,2
13,14714,109777.0,109149.0,98973,500,41462,31963,0.7249492285774908,0.3697933022265987,-0.17315352870516404,3.0850361669431176e-08,-500.4471251868968,2.165268469207103e-06,2.196118830876534e-06,216487082,0.00045717739407656664,0.00505188283673325,2459.6000309142237,40.2394693267312,3.719395791139953,0.4189223323532681,0.7708986541893782,0.13471398109603167,0.8063616726867088,0.6820907009433391,1.0604447344929275,-0.05975236691494277,0.17403842758241816,0.4663161916477471,0.347490483078711,3
17,12069,127014.0,126455.0,122144,118,51572,43822,0.6963125491223473,0.3828128023526417,-0.19208278799866502,4.8732512729589924e-08,1060.5215013671389,1.9625357078285425e-06,2.011268220558133e-06,145648692,0.000838620644804692,0.0009660728320670684,3297.0153548854328,37.046839899914374,3.638818029608141,0.42222294996070214,0.8497246567905065,1.2174539827491273,0.7082926436781356,-1.1872649729551248,1.584067556260149,-0.3453374558608447,0.40410124524280894,0.3968854998523752,0.15944908857082046,4
0,13152,88264.0,97050.0,66180,514,26666,17547,0.7829857963130855,0.3586656513593102,-0.23258080311557408,-4.774422837515253e-08,-500.5722323600973,2.348074866022137e-06,2.3003306376469844e-06,172961952,0.00038262750411142445,0.007766696887277123,1758.379109374769,37.636934860726235,3.654208680647316,0.40293139921426413,0.6580289507237681,-0.07689848767885356,0.7270241916205017,1.9241829771792953,0.3106775171984867,-0.956329627818984,-0.8371202846826882,0.18192271430295967,0.15617175372385422,5
1,9839,79590.0,73802.0,57727,176,23038,16473,0.7687044190759956,0.3510613454074431,-0.17649034144929554,-5.0141926959725324e-08,-435.24209777416405,1.6208698587983806e-06,1.5707279318386554e-06,96796082,0.0005963774442853999,0.003048833301574653,1205.7575955384987,47.87612386900932,3.889289012803493,0.3990853500095276,0.7150360274329369,0.5298381897575379,1.013134148949949,-0.23435230775557592,0.6893622834196291,-0.11009474690737016,-0.8679678762510289,0.1699866152021902,0.06611148155870243,6
9,33793,228231.0,237138.0,193099,920,75684,58034,0.7522545430064371,0.3450001638070739,-0.168410526104861,1.7412227338778312e-08,348.32009587784455,1.9575417775809716e-06,1.9749540049197505e-06,1141933056,0.00016909835387057926,0.004764395465538402,11109.874585552343,17.380844267235247,2.911309049889758,0.39194402871066136,0.7667935098567729,-0.6830084451716988,-0.1771389925411471,0.5505583614798084,1.0331752144326807,0.011805151447291176,0.0011501079497250508,0.12275689959944325,-0.05932676336720425,7
8,37427,274729.0,288864.0,257492,1072,102111,79010,0.7471202988830721,0.3547869923325267,-0.21247334664244652,3.1491681325679744e-08,-1103.7443289603762,1.914253492196954e-06,1.945745173522634e-06,1400742902,0.00018382531129185046,0.004163236139375204,16290.383060483493,15.806380920815359,2.8217586310123037,0.39655989312289314,0.7737658038800913,-0.6412054617076726,-0.28612840177356585,0.2755136100114965,1.0794905437682887,-0.6529691182334065,0.1822893257345015,-0.007168250366726382,-0.2245000091937294,8
6,37058,345048.0,336869.0,260255,586,106039,69922,0.7813432979193483,0.35846307931144505,-0.16153707701881026,1.1282428861133871e-07,1245.134060121971,1.7970774869286575e-06,1.9099017755399965e-06,1373258306,0.00018951642153766809,0.0022516378167566427,23860.191904661027,10.907498189449175,2.4771683016415693,0.40744270042842595,0.6593989004045682,-0.6250510463255624,-0.7055200349575008,-0.599088284477171,0.31977777464994556,0.1155046432324176,1.2286739993040035,-0.0442838247623113,-0.11709614464476266,9
10,9322,45404.0,44136.0,36766,162,14827,4784,0.8911439917314911,0.3517630506179826,-0.255071512475302,2.4187323308175362e-08,1763.8892941428878,1.7065716462837024e-06,1.7307589695918775e-06,86890362,0.0004231309336701808,0.0044062449001795135,411.3584818283485,89.3770315287718,4.503990159106192,0.4032802045368003,0.3226546165778647,0.03807191303918516,1.761270401463774,0.3866959227714569,-1.9171362675800323,-1.295646192369376,0.08831510635485568,-0.15640485272002277,0.19574143025197915,10
5,30754,401979.0,389498.0,281964,382,115635,61334,0.813854960207686,0.3487468670871165,-0.13464460910842022,1.1045817564705684e-07,749.1034987318723,1.6544732690001359e-06,1.7649314446471928e-06,945777762,0.00029812923429679876,0.0013547828800839824,32139.71105300496,8.773072027156177,2.2796308513444976,0.41010554538877303,0.5304103428892636,-0.31674978043112983,-0.9459375592866535,-1.0094208409636936,-0.5370632452304737,0.5212303888140408,1.1982327725391604,-0.18161804409312488,-0.11052900386565519,11
16,23872,228614.0,218643.0,179458,760,71580,33144,0.8368102843005047,0.33834874579192276,-0.13447707498442435,-3.583393612006193e-08,-873.4861762734585,1.7923937257368774e-06,1.7565597896168155e-06,569848512,0.0003149222928917642,0.004234974200091386,10260.576688212197,17.4900500676701,2.917232753219602,0.3988677016349229,0.4630343671416597,-0.26908209655898013,-0.169929412346203,0.30833548637900127,-0.9846261987751364,0.523757970425185,-0.6838884175461991,-0.21257211140372204,-0.058161293929439195,12
