community,size,density,inflation,reciprocity,assortativity,pr_anomaly,density_z,inflation_z,reciprocity_z,assortativity_z,pr_anomaly_z,Cartel_Index
8,32,0.057459677419354836,49.63664948903835,0.14035087719298245,-0.31031088388246725,-4.574201554903231e-05,0.12342390259358618,2.749516736794853,5.057175373589625,-0.7071913437863763,-0.9182510238377662,1.2609347290707844
31,3,0.3333333333333333,2.0,0.0,0.0,0.00022736854130256268,3.6721744424554235,-1.17024816876306,-0.31673318736999584,0.8483746898776627,2.0012083790413793,1.0069552310482819
22,4,0.25,3.0,0.0,0.0,0.0001907836609280682,2.600201075968535,-1.0879635213833174,-0.31673318736999584,0.8483746898776627,1.610128392080037,0.7308014898345843
15,5,0.2,4.0,0.0,0.0,0.00016883273270337153,1.957017056076402,-1.005678874003575,-0.31673318736999584,0.8483746898776627,1.3754803999032321,0.5716920168967452
12,30,0.03333333333333333,29.0,0.0,0.0,9.566297195438246e-05,-0.18692967689737594,1.0514373104899883,-0.31673318736999584,0.8483746898776627,0.593320425980547,0.3978939124161653
19,8,0.125,7.0,0.0,0.0,0.0001359063403663265,0.9922410262382017,-0.7588249318643473,-0.31673318736999584,0.8483746898776627,1.0235084116380244,0.35771320170390913
20,31,0.035483870967741936,33.0,0.0,-0.014291548761872925,4.876594321454348e-05,-0.15926584808481106,1.3805759000089586,-0.31673318736999584,0.7767321888339572,0.09200706372917916,0.3546632234234576
27,23,0.043478260869565216,22.0,0.0,0.0,0.00010011678347823405,-0.05642857141201558,0.4754447788317907,-0.31673318736999584,0.8483746898776627,0.6409301635236677,0.3183175746902219
6,12,0.08333333333333333,11.0,0.0,0.0,0.00011761390017907925,0.45625434299475726,-0.42968634234537717,-0.31673318736999584,0.8483746898776627,0.8279684181573533,0.2772355842628801
24,15,0.06666666666666667,14.0,0.0,0.0,0.00011029692410418035,0.24185966969737954,-0.18283240020614958,-0.31673318736999584,0.8483746898776627,0.7497524207650847,0.26808423855279634
10,87,0.012162523389468057,20.970552884615387,0.0,0.12860077137580062,5.984078286795306e-05,-0.4592642097787283,0.3907370859462747,-0.31673318736999584,1.493041062362875,0.21039335071219945,0.263634820374525
2,87,0.017241379310344827,19.172791103293033,0.031007751937984496,-0.09512347765017387,2.8448420659702133e-05,-0.3939314304258786,0.24280889169738698,0.8705256807489903,0.37152757131943653,-0.1251803747562998,0.1931500677167271
5,116,0.008620689655172414,21.119379616496897,0.0,0.0,8.1938151717205e-05,-0.504825226959005,0.4029832410998242,-0.31673318736999584,0.8483746898776627,0.44660674359430824,0.17528125204855888
29,80,0.017721518987341773,18.75571083042193,0.017857142857142856,-0.06193641638507277,-1.4861970214776431e-05,-0.38775506707466645,0.2084895885151414,0.3670007143592417,0.5378919108979092,-0.5881537923293713,0.027494670873650918
18,39,0.029014844804318488,43.0,0.0,-0.5579199549554371,6.478752842373821e-05,-0.2424813331363726,2.203422373806384,-0.31673318736999584,-1.948437721512863,0.26327238619501714,-0.008191496403566112
30,50,0.028979591836734694,35.105633802816904,0.0,-0.35944561939077446,2.6285487719593834e-05,-0.24293481604444603,1.553837234984614,-0.31673318736999584,-0.9535002217525724,-0.148301395717886,-0.021526477180057284
11,100,0.013838383838383839,14.683042192958883,0.0,-0.025079424259948288,3.153528764229584e-06,-0.4377064765724905,-0.1266285142130418,-0.31673318736999584,0.7226533486391071,-0.39557420661823184,-0.11079780722693056
26,124,0.011342774718069762,13.920535253099175,0.03468208092485549,-0.30599961894272526,1.56256656983476e-05,-0.46980919469415205,-0.18937112888400448,1.0112124252370782,-0.6855792842334494,-0.26225128469949804,-0.11915969345480515
21,67,0.016960651289009497,30.726084812623274,0.0,-0.5187398629436862,6.729985524468851e-05,-0.39754262597105505,1.1934675906442236,-0.31673318736999584,-1.7520307519384548,0.2901283094704927,-0.1965421330329579
4,172,0.00829593363253094,7.409275452366376,0.01639344262295082,-0.09732595594082218,-3.3279241644038524e-05,-0.5090027846415396,-0.7251478455851954,0.310956951922419,0.36048670682912554,-0.7850281895309186,-0.2695470322012218
7,140,0.008376156217882836,12.333022182759223,0.0,-0.20085442933252293,3.581484289169599e-05,-0.5079708269428841,-0.3199990820876598,-0.31673318736999584,-0.1584940479233187,-0.04643581468256187,-0.2699265918012841
0,154,0.008997538409303115,9.173784722222221,0.009433962264150943,-0.15887901071508245,-1.807658896938474e-05,-0.4999775650275424,-0.5799558225168203,0.0444847229775259,0.05192569189750806,-0.6225169786448405,-0.32120799026283386
28,161,0.006288819875776398,14.831404958677687,0.0,-0.39005404963394225,8.138311673544919e-05,-0.5348216545305432,-0.11442053635158664,-0.31673318736999584,-1.1069380703846587,0.44067360752262436,-0.326447968222832
16,182,0.006071276789508834,10.936274536689172,0.0,-0.2893159225291086,6.143561061584856e-05,-0.5376200592650495,-0.43492996962301933,-0.31673318736999584,-0.6019451199003208,0.22744151947667574,-0.332757363336342
13,121,0.008608815426997245,18.155264844706018,0.0,-0.5178005770430995,7.258122186890299e-05,-0.5049779732352214,0.15908210230992573,-0.31673318736999584,-1.7473221796042477,0.34658433090321006,-0.4126733813992659
1,75,0.016936936936936937,13.757578426623216,0.0,-0.2781431164769241,-5.84422610860035e-05,-0.39784767981695834,-0.20277997388870064,-0.31673318736999584,-0.5459366506579817,-1.0540123495046174,-0.5034619682476509
17,147,0.013885006057217408,6.444242486026188,0.006711409395973154,0.017457298019681617,-0.00016673028451059878,-0.43710674324997717,-0.8045552429303248,-0.059759371954980364,0.9358868631511363,-2.211574663648043,-0.5154218317264377
23,282,0.004391610509578254,4.928905374324676,0.0,-0.3211382749612064,2.4852530392990716e-05,-0.5592267494651099,-0.9292442228281214,-0.31673318736999584,-0.7614682727311664,-0.1636192244730347,-0.5460583313734857
9,437,0.002340814141456553,5.538778499681122,0.0,-0.5882077245224904,7.928413386550479e-05,-0.5856075385056839,-0.8790610277617845,-0.31673318736999584,-2.100268121350841,0.418236191163537,-0.6926867367649537
14,158,0.010279771023139563,4.87709194987761,0.0,-0.13385124900931938,-0.00017192916125329953,-0.48348333448745995,-0.933507672188285,-0.31673318736999584,0.17738805248576417,-2.2671488961707897,-0.7646970075461532
