community_id,size,community_out_degree,community_in_degree,internal_edges,reciprocal_internal_edges,typed_internal_edges,superficial_internal_edges,mean_internal_semantic_weight,mean_internal_label_confidence,degree_assortativity,mean_pagerank_drop,mean_rank_drop,mean_weighted_pagerank,mean_unweighted_pagerank,possible_directed_edges,density,reciprocity,expected_internal_edges,inflation,log_inflation,semantic_coverage,semantic_superficiality,density_z,log_inflation_z,reciprocity_z,semantic_superficiality_z,degree_assortativity_z,mean_pagerank_drop_z,cci_score,structural_cci_score,rank_cci
10,7359,40176.0,41308.0,36912,358,15928,13627,0.7020454052882532,0.3998693055238722,-0.25596639981835273,1.6525842233707396e-08,-952.3606468270145,2.3192995712945568e-06,2.3358254135282647e-06,54147522,0.0006816932453529452,0.0096987429562202,340.67026963114773,108.351104544478,4.694563848072932,0.43151278716948416,0.8555374183827222,1.6003506569775992,1.8568072756970821,2.408177204306634,1.573824111588453,-1.5807792712843582,0.21205326247034095,1.0117388732926251,0.8993218256334595,1
5,12119,127380.0,126793.0,122400,122,51666,43901,0.6964321895424836,0.3826955780630408,-0.19102032791767692,4.873673409434374e-08,1059.3267596336332,1.958102335361461e-06,2.0068390694558047e-06,146858042,0.0008334579321165129,0.0009967320261437909,3315.3538878023064,36.91913567668547,3.6354558837906956,0.4221078431372549,0.8497077381643634,2.3429346269336406,0.6236933125182801,-1.1159156589471602,1.5343835429730364,-0.14959764664029976,0.6871944141347524,0.6537820984953749,0.4776618095998426,2
12,14842,110749.0,110383.0,100052,530,41899,32309,0.7251759085275657,0.3698799378113402,-0.17227720939280677,3.705657449474505e-08,-503.5179221129228,2.1644491291633497e-06,2.2015057036580943e-06,220270122,0.0004542241094323269,0.005297245432375165,2509.431684697911,39.870382051083574,3.7104056454914756,0.4187722384360133,0.771116255757894,0.48734513773217925,0.7109569351205236,0.6256827744501393,1.002674660438088,0.2634343664788906,0.5149010014658673,0.600832479280948,0.52046404304952,3
16,8835,70891.0,66558.0,52166,150,20894,15352,0.7614691561553503,0.35296639101968624,-0.18989720688595801,-4.836249318185652e-08,-368.42818336162986,1.6410581574209356e-06,1.592695664239079e-06,78048390,0.0006683802189897831,0.0028754361078096847,968.5560015469429,53.859559918768085,4.004776463580965,0.400529080243837,0.7347563893940844,1.5352100753330187,1.0536913667178907,-0.35508833988673516,0.7566828134662609,-0.12484803306389108,-0.7451111200724208,0.3534227937490206,0.2727707898055725,4
2,21010,165730.0,167771.0,142066,404,55392,42795,0.7523686174031788,0.3420938538484309,-0.14704683354226458,2.6007406458117213e-08,309.4099476439791,2.01611751277281e-06,2.042124919230927e-06,441399090,0.00032185385792254354,0.002843748680190897,5707.571938178122,24.890794463704648,3.253887479414871,0.389903284388946,0.7725844887348353,-0.1603419426183951,0.17943517905918846,-0.3679209412731896,1.012607957171605,0.8194225770573883,0.351915311762793,0.305853023526565,0.164502036797557,5
15,9221,69855.0,65877.0,49823,282,19647,11929,0.8045721855368002,0.3458809466287875,-0.20395690285008963,-7.428165443150976e-08,-262.3066912482377,1.7508788366488583e-06,1.6765971822173486e-06,85017620,0.0005860314603019939,0.005660036529313771,944.63640993492,52.74304428243721,3.9842142499349014,0.39433594926038174,0.6071664885224207,1.1322779476332674,1.0297508869784047,0.7726039316225,-0.10652375215557164,-0.4346739843965693,-1.1274432883221865,0.21099862355997404,0.2745030987030832,6
0,18315,103793.0,117534.0,81307,792,33332,23195,0.7637337498616356,0.36334521500725353,-0.2549286716490936,-1.0868191467610706e-08,-401.3771771771772,2.4252739207369307e-06,2.41440572926932e-06,335420910,0.00024240289611044224,0.009740858720651358,2504.17659411472,32.46855680669109,3.510606395282263,0.40995240262216043,0.6958778351134045,-0.5490951624709808,0.4783316942815455,2.4252330165843854,0.49365084081252997,-1.557911414249209,-0.19203467082542602,0.18302905068880757,0.12090469266406305,7
4,32325,433585.0,427453.0,310418,440,128795,69463,0.8095104021029709,0.3525707332417477,-0.12285804600653899,1.526821048716382e-07,1148.6860015467905,1.7847462237963555e-06,1.937428328667994e-06,1044873300,0.00029708673769346004,0.001417443576081284,38044.859905812205,8.15926253292831,2.2147656659393316,0.4149082849577022,0.5393299429325673,-0.2815273570669061,-1.0304090113853128,-0.9455381930330667,-0.5654703548429251,1.3524578666510838,2.2204870467943265,0.12499999951953326,0.2630940703920249,8
17,42127,373116.0,371868.0,288341,670,117564,78533,0.7782538730184053,0.3599248786803361,-0.1677659988396939,1.1886877346637782e-07,1170.010444607971,1.7497531592649663e-06,1.8686219327313443e-06,1774642002,0.00016247840391191192,0.00232363763738074,28481.70943093196,10.123725217379452,2.409080234284842,0.4077255749269095,0.6680021094892995,-0.94016536450004,-0.8041695574706244,-0.5785526709727832,0.305058254598332,0.3628454849586878,1.72170839468443,0.011120756883000404,-0.04766674266006592,9
8,35962,268475.0,277339.0,248700,1052,98336,75742,0.7488982710092481,0.35332284892734195,-0.20678767474914367,2.4133793051212274e-08,-1138.7490684611535,1.866419043338499e-06,1.8905528363897114e-06,1293229482,0.00019230925637063383,0.0042299959790912745,15284.39197613734,16.271501044220884,2.849057804665366,0.3954000804181745,0.7702367393426619,-0.7942031296852913,-0.29190593202485376,0.19347391929575403,0.9967243121815738,-0.4970541808722047,0.32427774010590227,-0.011447878499853284,-0.2130823166361387,10
