community_id,size,community_out_degree,community_in_degree,internal_edges,reciprocal_internal_edges,typed_internal_edges,superficial_internal_edges,mean_internal_semantic_weight,mean_internal_label_confidence,degree_assortativity,mean_pagerank_drop,mean_rank_drop,mean_weighted_pagerank,mean_unweighted_pagerank,possible_directed_edges,density,reciprocity,expected_internal_edges,inflation,log_inflation,semantic_coverage,semantic_superficiality,density_z,log_inflation_z,reciprocity_z,semantic_superficiality_z,degree_assortativity_z,mean_pagerank_drop_z,cci_score,structural_cci_score,rank_cci
15,6985,49781.0,53203.0,36684,270,15067,10195,0.7726420237705811,0.3670194317811046,-0.20831682899139353,-1.5112935178849236e-09,-833.6734430923407,2.9039914751147875e-06,2.902480181596902e-06,48783240,0.0007519795733124737,0.007360157016683023,543.6671706136699,67.47510606276366,4.226470264074758,0.4107240213717152,0.6766443220282737,2.1110227040461345,1.612615802807349,1.614720644061103,0.5564817529662079,-0.647245297127522,-0.013931108802794384,0.8722774163250796,0.9354365489968538,1
2,11986,126294.0,125964.0,121757,118,51429,43685,0.6962802959994087,0.38292249764604,-0.19323138595982178,4.6480037839248124e-08,1025.022025696646,1.947020998802596e-06,1.993501036641844e-06,143652210,0.0008475818088701872,0.0009691434578710053,3265.5965780048377,37.28476469508954,3.645052028407752,0.4223904991088808,0.8494234770265804,2.6181725471219286,0.8261992227458718,-1.0971421699589778,1.7657078239176032,-0.329945833654448,0.5255190768871768,0.7180851111765257,0.5085605686283102,2
0,15483,116703.0,115298.0,104979,522,43917,33976,0.7249221272825994,0.3696885362618522,-0.16862637275390113,3.1987310775323456e-08,-511.3678227733643,2.112969247557855e-06,2.1449565583331787e-06,239707806,0.0004379456879264082,0.00497242305603978,2762.0857974391693,38.007146663340386,3.663744877119782,0.4183408110193467,0.773641186784161,0.4451386923916046,0.8514828572346611,0.601546930994387,1.235331800962536,0.1875833812746209,0.3626124834524395,0.6139493577183748,0.48967286906954255,3
8,17973,245108.0,236964.0,157618,224,65579,35865,0.8079172429544849,0.3531660318770566,-0.09593890024375101,2.1059258830627248e-07,1633.4649196016246,1.56584796597677e-06,1.7764405542830426e-06,323010756,0.0004879651747572146,0.0014211574820134757,11922.661914169306,13.22003434591073,2.6546518396964207,0.4160628862185791,0.5468976349136156,0.7104815972827916,-0.513399505878604,-0.9053416030837299,-0.3515738320964443,1.7164543584421665,2.3702385985166305,0.5044766021971351,0.6756866890558509,4
1,17669,85711.0,95435.0,74761,796,31231,24564,0.7306068672168644,0.37721986207518626,-0.2840215995584804,-3.288568730691044e-08,-362.65646046748543,2.202390091567315e-06,2.1695044042604046e-06,312175892,0.00023948357934058535,0.010647262610184454,1679.1040551003953,44.524340092508425,3.8182471300118164,0.4177445459531039,0.7865262079344242,-0.6076612409847497,1.0604600201056504,3.0095196603271455,1.3255099448469128,-2.2395805724665365,-0.3665973524094017,0.36360840990317006,0.1712281029144216,5
12,25161,205360.0,202631.0,172399,516,68255,51937,0.7535519347560021,0.34746171378115204,-0.15899264650359846,1.4653206450731667e-08,172.86411509876396,1.9255505687386454e-06,1.940203775189377e-06,633050760,0.00027233045261646947,0.002993056804273807,8541.912412163372,20.182716900083182,3.0531856086265474,0.39591296933276876,0.7609259394916124,-0.43341545551523736,0.025650603620441477,-0.23834641050686764,1.146341850034169,0.39021423302157304,0.16776717426348048,0.1763686658195932,-0.017625971023321994,6
18,10390,78299.0,73856.0,55588,330,21955,13336,0.804026048787508,0.34568044520405766,-0.19821231496489278,-2.043333571705193e-07,-349.20346487006736,1.947170517083355e-06,1.7428371599128358e-06,107941710,0.0005149816507446473,0.005936533064690221,1187.0673741220442,46.828007585595486,3.8676114006588826,0.3949593437432539,0.6074242769300843,0.8537983458667316,1.1272293068566233,1.0106423048382986,0.07203278592511794,-0.4347121370105273,-2.293767837757691,0.05587046145309227,0.05263799655868713,7
10,37534,276192.0,290584.0,258872,1050,102425,79334,0.7474238233567169,0.3539540059272324,-0.21305656215112598,3.066724393717154e-08,-1021.3877018170192,1.9064575623283262e-06,1.9371248062654974e-06,1408763622,0.00018375829412210646,0.004056058592663556,16474.648720816233,15.713354766278394,2.8162080864472383,0.39565885843196635,0.77455699292165,-0.9032722116805626,-0.29488122890782204,0.2127111556590304,1.241741235349455,-0.7469384109088777,0.347774172431956,-0.023810881342803486,-0.2769213046812552,8
16,8979,43218.0,42333.0,35442,162,14397,4507,0.8933186614750861,0.35422360712508777,-0.2518059027058227,3.2845603699344406e-08,1863.364405835839,1.6904037423746467e-06,1.723249346073991e-06,80613462,0.0004396536151741008,0.0045708481462671405,375.5580559264168,94.3715610428662,4.557780431736889,0.40621296766548165,0.3130513301382232,0.4541988888462083,2.0607403936942283,0.43114890964230607,-1.988189362093808,-1.5619721452320032,0.37226018990579823,-0.038635520872878394,0.35127524737130755,9
14,25646,297135.0,292673.0,202737,274,81377,45019,0.8102753814054662,0.34248183890151485,-0.14201601965547714,9.613370728487902e-08,740.0723309677923,1.991940907976975e-06,2.088074615261854e-06,657691670,0.00030825538660083686,0.0013515046587450736,17851.29968137412,11.356988209185346,2.514221749940595,0.4013919511485323,0.5532152819592759,-0.24284120245102442,-0.7033428962795077,-0.9348969935667699,-0.30735864008004427,0.747291885909719,1.0836548994444903,-0.05958215783718945,-0.01002686138861857,10
9,21963,215675.0,203911.0,169233,738,67668,30701,0.8392027559636713,0.3394103114633077,-0.14709775344918372,-6.185436129130918e-08,-958.2802895779265,1.781640360480722e-06,1.7197859991894128e-06,482351406,0.00035085001908339,0.00436085160695609,9027.631675912195,18.746112610193514,2.9829566421099716,0.3998510928719576,0.45370041969616365,-0.016885595310883003,-0.06933992175559586,0.34204226000215093,-1.0038313476637335,0.6404053063852403,-0.6922219208087412,-0.13330520319192704,0.04080002570243422,11
5,51886,467610.0,459272.0,360608,890,146995,97517,0.77944138787825,0.35968980425367936,-0.16239973593575097,9.914354369683988e-08,1134.8467987511083,1.7154782352046746e-06,1.8146217789015145e-06,2692105110,0.0001339501933488771,0.0024680539533232762,44084.622846473314,8.179904391057935,2.217016789660727,0.4076310009761292,0.6634035171264329,-1.167493757794905,-1.1053373541459148,-0.46111791547171077,0.4638135923432211,0.3185512631926959,1.117487193015304,-0.13901616314355156,-0.2595821142409061,12
11,34383,406893.0,420128.0,303174,500,127143,57598,0.8405823058705563,0.3627773427284075,-0.10270796561764783,8.141987661580731e-08,1116.55981153477,2.2555162548921863e-06,2.3369361315079935e-06,1182156306,0.00025645847208296326,0.0016492179408524477,35090.957262009746,8.639661715020324,2.2658860162038517,0.41937303330760556,0.4530174685196983,-0.5176129890761592,-1.0392376557692296,-0.8085699921361968,-1.008611104618656,1.5740773127792362,0.9182629742325263,-0.14694857576474651,0.025383930006035404,13
13,17449,155475.0,157135.0,110179,154,43613,27061,0.7966209531761951,0.34514357379574323,-0.17722495192845847,-4.4419707773687225e-08,-844.8295604332626,2.0309638954571146e-06,1.9865441876834275e-06,304450152,0.0003618950402100637,0.0013977255193820964,5014.952985131613,21.9700962953511,3.1341932089147315,0.39583768231695693,0.6204801320707128,0.041705929233329705,0.13522012873954506,-0.9152843559092079,0.16340654229502025,0.0067252816478626555,-0.4962463808194017,-0.17741214246880865,-0.2455758794215744,14
